어휘,뜻풀이
앙칼스럽다,보기에 제힘에 겨운 일에 악을 쓰고 덤비는 데가 있다매우 모질고 날카로운 데가 있다
앙칼지다,제힘에 겨운 일에 악을 쓰고 덤비는 태도가 있다매우 모질고 날카롭다
앙큼스럽다,보기에 엉뚱한 욕심을 품고 깜찍하게 분수에 넘치는 짓을 하려는 데가 있다
앙큼하다,엉뚱한 욕심을 품고 깜찍하게 분수에 넘치는 짓을 하고자 하는 태도가 있다보기와는 달리 품위가 있거나 실속이 있다
앙하다,마음속에 맺힌 것이 풀리지 아니하여 토라져 있다
앞차다,앞을 내다보는 태도가 믿음직하고 당차다
애감하다,구슬프게 느끼는 데가 있다
애격하다,슬픔이 크다
애고롭다,슬프고 괴로워할 만하다
애교스럽다,남에게 귀엽게 보이는 태도가 있다
애긋다,궁중에서 애매하다를 이르던 말
애꿎다,아무런 잘못 없이 억울하다그 일과는 아무런 상관이 없다
애달프다,마음이 안타깝거나 쓰라리다애처롭고 쓸쓸하다
애닯다, 애달프다
애닲다, 애달프다
애닳다, 애달프다
애동대동하다,매우 앳되고 젊다
애되다, 앳되다
애루하다,비좁고 누추하다
애리애리하다,애티가 많이 나게 아주 젊다
애리하다,애티가 나게 젊다
애매모호하다,말이나 태도 따위가 희미하고 흐려 분명하지 아니하다
애매하다,아무 잘못 없이 꾸중을 듣거나 벌을 받아 억울하다
애매하다,희미하여 분명하지 아니하다희미하여 확실하지 못하다 이것인지 저것인지 명확하지 못하여 한 개념이 다른 개념과 충분히 구별되지 못하는 일을 이른다
애무하다, 애매하다
애바르다,이익을 좇아 발밭게 덤비다
애바쁘다,시각을 다툴 만큼 몹시 절박하고 급하다
애발스럽다,보기에 매우 안타깝게 애를 쓰는 데가 있다
애살맞다,군색하고 애바르다
애살스럽다,보기에 군색하고 애바른 데가 있다
애상스럽다,보기에 슬퍼하거나 가슴 아파하는 데가 있다
애석하다,슬프고 아깝다
애압하다,허물없이 썩 친하다
애애절절하다,몹시 애처롭고 슬프다
애애처처하다,몹시 구슬프다
애애하다,매우 슬프다
애애하다,서리나 눈 따위가 내려서 희디희다
애애하다,흐리고 어둡다
애애하다,초목이 무성하다달빛이 희미하다부드럽고 포근하다
애애하다,안개나 구름 아지랑이 따위가 짙게 끼어 자욱하다분위기가 부드럽고 포근하여 평화롭다
애애하다,구름이 많이 끼다수목이 울창하다
애연스럽다,보기에 슬픈 기분을 자아내는 데가 있다
애연하다,슬픈 듯하다
애연하다,어둠침침하고 희미하다
애연하다,화기롭고 온화하다
애연하다,구름이나 안개 따위가 짙게 끼다
애염하다,가련하고 어여쁘다
애옥하다,살림이 몹시 구차하다
애완하다,가련하고 어여쁘다
애욱하다, 애옥하다
애운하다, 섭섭하다
애울하다,초목이 몹시 우거지다
애잔스럽다,보기에 잔약하거나 애틋한 데가 있다
애잔하다,몹시 가냘프고 약하다애처롭고 애틋하다
애절초절하다,비길 데 없이 애가 타다
애절하다,견디기 어렵도록 애가 타는 마음이 있다
애절하다,몹시 애처롭고 슬프다
애젊다,앳되게 젊다
애졸하다, 애절하다
애참하다,슬프고 비참하다
애처롭다,가엾고 불쌍하여 마음이 슬프다
애체하다,안개나 구름 따위가 짙게 끼어서 자욱하다
애초롬하다,웅숭깊게 새뜻한 맛이 있다
애초상심하다,마음에 딱하고 애처롭다
애통망극하다,그지없을 만큼 애통하다
애틋하다,섭섭하고 안타까워 애가 타는 듯하다정답고 알뜰한 맛이 있다
애홉다, 슬프다
액궂다, 애꿎다
액색하다,운수가 막히어 생활이나 행색 따위가 군색하다
앰하다,애매하다의 준말
앳되다,애티가 있어 어려 보이다
야경스럽다,밤중에 떠들썩한 듯하다
야긋야긋하다,톱날처럼 높고 낮은 차이가 적고 어슷비슷하다
야나치다,영락없고 매몰하다
야단스럽다,보기에 매우 떠들썩하게 일을 벌이거나 부산하게 법석거리는 데가 있다
야당스럽다,보기에 매몰하고 사막한 데가 있다보기에 약빠르고 매몰찬 데가 있다
야드르르하다,반들반들 윤기가 돌고 보드랍다
야드를하다,야드르르하다의 준말
야들야들하다,반들반들 윤기가 돌고 보들보들하다목소리 같은 것이 맑고 보드랍다
야들하다,윤기가 돌고 보드랍다
야루하다,천하고 너절하다
야릇하다,무엇이라 표현할 수 없이 묘하고 이상하다
야리다,단단하거나 질기지 아니하여 보드랍거나 약하다의지나 감정 따위가 모질지 못하고 무르다빛깔이나 소리 따위가 흐리거나 약하다기준보다 조금 모자라다
야리야리하다,단단하지 못하고 매우 무르다
야릿야릿하다,빛깔이나 소리 형체 따위가 선명하지 못하고 조금 흐리거나 약하다
야릿하다,빛깔이나 소리 형체 따위가 선명하지 못하고 조금 흐리거나 약한 듯하다
야만스럽다,미개하여 문화 수준이 낮은 데가 있다교양이 없고 무례한 데가 있다
야말스럽다, 야멸스럽다
야매하다,촌스럽고 어리석다
야멸스럽다,보기에 야멸친 데가 있다
야멸차다,자기만 생각하고 남의 사정을 돌볼 마음이 거의 없다태도가 차고 야무지다
야멸치다,자기만 생각하고 남의 사정을 돌볼 마음이 없다태도가 차고 여무지다
야무방하다,또한 거리낄 것이 없이 괜찮다
야무지다,사람의 성질이나 행동 생김새 따위가 빈틈이 없이 꽤 단단하고 굳세다
야무청초하다,들에 푸른 풀이라고는 없다 가뭄이 매우 심한 상태를 이르는 말이다
야무하다,들에 풀이 무성하다
야므지다, 야무지다
야박스럽다,보기에 야멸치고 인정이 없는 데가 있다
야박하다,야멸치고 인정이 없다
야발스럽다,보기에 야살스럽고 되바라진 데가 있다
야발지다,야살스럽고 되바라지다
야비하다,성질이나 행동이 야하고 천하다
야쁘장스럽다,예쁘장스럽다를 낮잡는 뜻으로 이르는 말
야쁘장하다,예쁘장하다를 낮잡는 뜻으로 이르는 말
야살스럽다,보기에 얄망궂고 되바라진 데가 있다
야속스럽다,보기에 무정한 행동이나 그런 행동을 한 사람이 섭섭하게 여겨져 언짢은 데가 있다
야속하다,무정한 행동이나 그런 행동을 한 사람이 섭섭하게 여겨져 언짢다
야숙하다, 야속하다
야심만만하다,무엇을 이루어 보겠다는 욕망이나 소망이 마음속에 가득하다
야심스럽다,매우 심한 데가 있다
야심하다,밤이 깊다
야심하다,매우 심하다
야염하다,매우 아리땁다
야자무방하다,또한 거리낄 것이 없이 괜찮다
야자불방하다,또한 거리낄 것이 없이 괜찮다
야자짢다, 야젓잖다
야잣잖다, 야젓잖다
야젓잖다,말이나 행동 따위가 좀스러워 점잖지 못하고 가벼운 데가 있다
야젓하다,말이나 행동 따위가 좀스럽지 않아 점잖고 무게가 있다
야지랑스럽다,얄밉도록 능청맞고 천연스럽다
야트막하다,조금 얕은 듯하다
야틈하다,야트막하다의 준말
야하다,천하게 아리땁다깊숙하지 못하고 되바라지다
야하다,천박하고 요염하다이끗에만 밝아 진실하고 수수한 맛이 없다겉치레를 하지 아니하여 촌스럽고 예의범절에 익지 아니하다
약다,자신에게만 이롭게 꾀를 부리는 성질이 있다어려운 일이나 난처한 일을 잘 피하는 꾀가 많고 눈치가 빠르다
약략스럽다,매우 간략한 듯하다매우 약소한 듯하다
약략하다,매우 간략하다
약렬하다,힘이 약하고 변변하지 못하여 졸렬하다
약바르다, 약빠르다
약빠르다,약아서 눈치나 행동 따위가 재빠르다
약빨르다, 약빠르다
약사바르다, 약삭빠르다
약삭빠르다,눈치가 빠르거나 자기 잇속에 맞게 행동하는 데 재빠르다
약삭스럽다,눈치가 빠르거나 자기 잇속에 맞게 행동하는 데 재빠른 데가 있다
약석바르다, 약삭빠르다
약소하다,약하고 작다
약소하다,적고 변변하지 못하다
약스럽다,성질 따위가 못나고 야릇하다
약시약시하다,이러하고 이러하다
약시하다,상태 모양 성질 따위가 이와 같다
약약하다,싫증이 나서 귀찮고 괴롭다
약여하다,생기 있게 뛰어놀다눈앞에 생생하게 나타나다
약연하다,생기 있게 뛰어놀다눈앞에 생생하게 나타나다
약존약망하다,있는 듯도 하고 없는 듯도 하다
약존약무하다,있는 듯도 하고 없는 듯도 하다
약차약차하다,이러하고 이러하다
약차하다,상태 모양 성질 따위가 이와 같다
약하다,힘의 정도가 작다튼튼하지 못하다각오나 의지 따위가 굳지 못하고 여리다견디어 내는 힘이 세지 못하다능력 지식 기술 따위가 모자라거나 낮다
약하하다,의견 성질 형편 상태 따위가 어찌 되어 있다높이는 뜻으로 편지글에서 상대방의 형편 상태 따위가 어떠하다
약합부절하다,사물이 꼭 들어맞는 데가 있다
약행하다,실행력이 약하다 또는 일을 하는 데 용기가 없다바로 걷지 못하는 상태이다
약후하다,젊어서 한창 일할 때임에도 쓸모가 없다
얄궂다,야릇하고 짓궂다
얄긋하다,한쪽으로 조금 쏠리어 배뚤어져 있다
얄따랗다,꽤 얇다
얄망궂다,성질이나 태도가 괴상하고 까다로워 얄미운 데가 있다
얄망스럽다,성질이나 태도가 괴상하고 까다로워 얄미운 듯하다
얄밉다,말이나 행동이 약빠르고 밉다
얄밉상스럽다,말이나 행동이 조금 약빠르고 미운 듯한 데가 있다
얄브스름하다,조금 얇은 듯하다
얄상스럽다,몹시 야살을 떠는 듯한 데가 있다
얄쌍스럽다, 예쁘장스럽다
얄쌍하다, 얄팍하다
얄쭉스름하다,조금 얇은 듯하다
얄찍스름하다,매우 얇은 듯하다
얄찍얄찍하다,여럿이 다 얇은 듯하다
얄찍하다,얇은 듯하다
얄캉얄캉하다,매우 가늘고 탄력이 있으며 부드럽다
얄캉하다,가늘고 탄력이 있으며 부드럽다
얄팍스럽다,두께가 조금 얇은 듯하다생각이 깊이가 없고 빤히 들여다보이는 데가 있다
얄팍얄팍하다,여러 개가 모두 두께가 조금 얇다
얄팍하다,두께가 조금 얇다생각이 깊이가 없고 속이 빤히 들여다보이다
얇다,두께가 두껍지 아니하다층을 이루는 사물의 높이나 집단의 규모가 보통의 정도에 미치지 못하다빛깔이 연하다빤히 들여다보일 만큼 속이 좁다
얇다랗다, 얄따랗다
얇디얇다,몹시 얇다
얇실얇실하다,여럿이 다 조금 얇은 듯하다매우 얇은 듯하다
얇실하다,조금 얄브스름하다
얇직하다, 얄찍하다
얌심맞다,얄미울 정도로 몹시 샘바르고 시기하는 마음이 있는 듯하다
얌심스럽다,몹시 샘바르고 시기하는 마음이 있는 듯하다
얌전스럽다,보기에 성품이나 태도가 매우 침착하고 단정한 데가 있다
얌전하다,성품이나 태도가 침착하고 단정하다모양이 단정하고 점잖다일하는 모양이 꼼꼼하고 정성을 들인 데가 있다
얌치없다,얌치를 아는 마음이 없다
얍삽하다,속되게 사람이 얕은꾀를 쓰면서 자신의 이익만을 챙기려는 태도가 있다
양간하다,세련되고 맵시가 있다
양광스럽다,호강이 분수에 넘친 듯하다
양구하다,시간이 꽤 오래다
양기롭다,만물이 살아 움직이는 활발한 기운이 있다
양난하다,이러기도 어렵고 저러기도 어렵다
양덕하다,덕이 적다
양명하다,환하게 밝다
양명하다,볕이 환하게 밝다
양박하다,얼굴에 살이 없다마음이 좁고 후덕하지 못하다
양선하다,어질고 착하다
양순하다,어질고 순하다
양양하다,바다가 한없이 넓다사람의 앞날이 한없이 넓어 발전의 여지가 많다
양양하다,뜻한 바를 이룬 만족한 빛을 얼굴과 행동에 나타내는 면이 있다
양양하다,물 위에 둥둥 떠 있는 상태이다물결이 출렁거리는 상태이다
양양하다,낟알이 잘 여물어 있는 상태이다많고 넉넉하다
양연하다,밝고 맑다
양일하다,가득 차서 넘치는 상태에 있다
양전하다,두 가지가 다 온전하다
양정하다,착하고 바르다
양지바르다,땅이 볕을 잘 받게 되어 있다
양직하다,마음이 밝고 곧다
양착하다,음식이나 술을 먹는 양이 적다도량이 좁다
양편하다,두 쪽 다 원만하고 편하다
양하다,물체의 온도나 기온이 꽤 찬 느낌이 있다
양허하다,양기가 부족하다 얼굴이 창백하고 손발이 차며 대변이 묽고 맥이 허약한 증상이 나타난다
양협하다,도량이 좁다
양호하다,대단히 괜찮다
얕다,겉에서 속 또는 밑에서 위까지의 길이가 짧다생각이 일정한 정도에 미치지 못하거나 마음 쓰는 것이 너그럽지 못하다수준이 낮거나 정도가 약하다시간이 오래지 않다
얕디얕다,아주 얕다
얕으막하다, 야트막하다
얕푸르다,빛이 연하고 푸르다
얘지랑스럽다, 야지랑스럽다
어굴하다,경우에 꿀리거나 논리가 맞지 아니하여 대답이 시원스럽지 못하다
어궁하다,말이 막히고 궁하다
